Group,Category,Code,Long Description,Short Description
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9944,"Back pain was measured by the visual analog scale (vas) within three months preoperatively and at one year  (9 to 15 months) postoperatively
                                    
                                        
Terminated December 31, 2019.",Vas 3 mon pre and 1 yr post
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9945,"Patient had cancer, acute fracture or infection related to the lumbar spine or patient had neuromuscular,  idiopathic or congenital lumbar scoliosis",Pt w/cancer scoliosis
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9946,Back pain was not measured by the visual analog scale (vas) or numeric pain scale at one year (9 to 15 months) postoperatively,Bk pain no vas
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9947,"Leg pain was measured by the visual analog scale (vas) within three months preoperatively and at three months (6 to 20 weeks) postoperatively
                                    
                                        
Terminated December 31, 2019.",Pre and post vas wthn 3 mos
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9948,"Patient had any additional spine procedures performed on the same date as the lumbar discectomy/laminectomy
                                    
                                        
Terminated December 31, 2022.",Adtl spine proc on same date
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9949,Leg pain was not measured by the visual analog scale (vas) or numeric pain scale at three months (6 - 20 weeks) postoperatively,Leg pain no vas
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9954,Patient exhibits 2 or more risk factors for post-operative vomiting,Pt >2 rsk fac post-op vomit
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9955,Cases in which an inhalational anesthetic is used only for induction,Inhlnt anesth only for induc
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9956,Patient received combination therapy consisting of at least two prophylactic pharmacologic anti-emetic agents of different classes preoperatively and/or intraoperatively,Combo thrpy of >= 2 prophly
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9957,"Documentation of medical reason for not receiving combination therapy consisting of at least two prophylactic pharmacologic anti-emetic agents of different classes preoperatively and/or intraoperatively (e.g., intolerance or other medical reason)",Doc med rsn no combo thrpy
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9958,Patient did not receive combination therapy consisting of at least two prophylactic pharmacologic anti-emetic agents of different classes preoperatively and/or intraoperatively,No combo prohpyl thrp for pt
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9959,Systemic antimicrobials not prescribed,Systemic antimicro not presc
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9960,Documentation of medical reason(s) for prescribing systemic antimicrobials,Med rsn sys antimi nt rx
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9961,Systemic antimicrobials prescribed,Systemic antimicro presc
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9962,Embolization endpoints are documented separately for each embolized vessel and ovarian artery angiography or embolization performed in the presence of variant uterine artery anatomy,Embolization doc separatly
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9963,Embolization endpoints are not documented separately for each embolized vessel or ovarian artery angiography or embolization not performed in the presence of variant uterine artery anatomy,Embolization not doc separat
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9964,Patient received at least one well-child visit with a pcp during the performance period,Pt recv >=1 well-chld visit
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9965,Patient did not receive at least one well-child visit with a pcp during the performance period,No well-chld vist recv by pt
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9966,"Children who were screened for risk of developmental, behavioral and social delays using a standardized tool with interpretation and report
                                    
                                        
Terminated December 31, 2020.","Scrn, inter, report child"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9967,"Children who were not screened for risk of developmental, behavioral and social delays using a standardized tool with interpretation and report
                                    
                                        
Terminated December 31, 2020.","No scrn, inter, reprt child"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9968,Patient was referred to another clinician or specialist during the measurement period,Pt refrd 2 pvdr/spclst in pp
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9969,Clinician who referred the patient to another clinician received a report from the clinician to whom the patient was referred,Pvdr rfrd pt rprt rcvd
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9970,Clinician who referred the patient to another clinician did not receive a report from the clinician to whom the patient was referred,Pvdr rfrd pt no rprt rcvd
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9974,"Dilated macular exam performed, including documentation of the presence or absence of macular thickening or geographic atrophy or hemorrhage and the level of macular degeneration severity
                                    
                                        
Terminated December 31, 2024.",Mac exam perf
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9975,"Documentation of medical reason(s) for not performing a dilated macular examination
                                    
                                        
Terminated December 31, 2024.",Doc med rsn no dil mac exam
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9978,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved bundled payments for care improvement advanced (bpci advanced) model episode of care, which requires these 3 key components: a problem focused history; a problem focused examination; and straightforward medical decision making, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both. usually, the presenting problem(s) are self limited or minor. typically, 10 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",Remote e/m new pt 10mins
